M06,OFF,1224170492000
M06,ON,1224170493000
M06,OFF,1224170495000
M06,ON,1224170514000
M10,ON,1224170515000
M06,OFF,1224170515000
M06,ON,1224170517000
M10,OFF,1224170518000
M06,OFF,1224170519000
M06,ON,1224170528000
M06,OFF,1224170530000
M06,ON,1224170534000
M06,OFF,1224170536000
M06,ON,1224170539000
M05,ON,1224170540000
M06,OFF,1224170540000
M05,OFF,1224170541000
M03,ON,1224170543000
M03,OFF,1224170545000
M06,ON,1224170546000
M07,ON,1224170546000
M06,OFF,1224170547000
M06,ON,1224170548000
M08,ON,1224170549000
M06,OFF,1224170549000
M09,ON,1224170552000
M08,OFF,1224170554000
M09,OFF,1224170555000
M07,OFF,1224170555000
M14,ON,1224170555000
M14,OFF,1224170561000
M14,ON,1224170561000
M14,OFF,1224170565000
M08,ON,1224170572000
M09,ON,1224170574000
M09,OFF,1224170576000
M07,ON,1224170582000
M07,OFF,1224170585000
M07,ON,1224170586000
M08,OFF,1224170588000
M03,ON,1224170592000
M07,OFF,1224170593000
M03,OFF,1224170595000
M03,ON,1224170619000
M03,OFF,1224170621000
M06,ON,1224170622000
M07,ON,1224170623000
M06,OFF,1224170625000
M06,ON,1224170628000
M10,ON,1224170630000
M07,OFF,1224170631000
M06,OFF,1224170631000
M10,OFF,1224170634000
M07,ON,1224170638000
M06,ON,1224170638000
M08,ON,1224170639000
M06,OFF,1224170492000
M06,ON,1224170493000
M06,OFF,1224170495000
M06,ON,1224170514000
M10,ON,1224170515000
M06,OFF,1224170515000
M06,ON,1224170517000
M10,OFF,1224170518000
M06,OFF,1224170519000
M06,ON,1224170528000
M06,OFF,1224170530000
M06,ON,1224170534000
M06,OFF,1224170536000
M06,ON,1224170539000
M05,ON,1224170540000
M06,OFF,1224170540000
M05,OFF,1224170541000
M03,ON,1224170543000
M03,OFF,1224170545000
M06,ON,1224170546000
M07,ON,1224170546000
M06,OFF,1224170547000
M06,ON,1224170548000
M08,ON,1224170549000
M06,OFF,1224170549000
M09,ON,1224170552000
M08,OFF,1224170554000
M09,OFF,1224170555000
M07,OFF,1224170555000
M14,ON,1224170555000
M14,OFF,1224170561000
M14,ON,1224170561000
M14,OFF,1224170565000
M08,ON,1224170572000
M09,ON,1224170574000
M09,OFF,1224170576000
M07,ON,1224170582000
M07,OFF,1224170585000
M07,ON,1224170586000
M08,OFF,1224170588000
M03,ON,1224170592000
M07,OFF,1224170593000
M03,OFF,1224170595000
M03,ON,1224170619000
M03,OFF,1224170621000
M06,ON,1224170622000
M07,ON,1224170623000
M06,OFF,1224170625000
M06,ON,1224170628000
M10,ON,1224170630000
M07,OFF,1224170631000
M06,OFF,1224170631000
M10,OFF,1224170634000
M07,ON,1224170638000
M06,ON,1224170638000
M08,ON,1224170639000
