3,3,0,0,0,4,6,8,2,11,25,5,9,12,9,5,6,7,4,0,4,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,62,0,74,62,62,0,Task5_1
2,8,0,0,0,18,5,6,6,0,0,0,38,10,6,6,8,2,0,0,10,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,62,0,62,62,62,62,74,62,0,Task5_2
2,7,2,0,0,22,16,10,10,12,0,0,0,12,5,6,9,2,3,2,5,5,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,62,0,74,62,50,0,Task5_3
4,0,0,0,0,11,9,6,3,15,10,0,35,8,6,6,11,3,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,62,0,74,86,62,0,Task5_4
5,4,0,0,0,8,43,5,7,29,0,0,21,16,4,4,7,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,62,0,0,62,0,74,62,74,0,Task5_5
4,1,0,0,0,3,3,7,2,0,0,0,34,19,7,6,8,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,62,0,62,74,62,0,Task5_6
5,5,0,0,0,13,12,5,5,5,0,0,0,3,4,5,7,6,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,62,0,0,62,0,62,62,62,0,Task5_7
4,6,3,0,0,40,23,10,9,0,0,0,0,8,5,5,10,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,74,74,62,0,Task5_8
5,7,7,0,3,40,13,4,5,7,9,0,4,15,8,11,8,3,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,62,0,0,0,0,62,62,62,0,Task5_9
7,5,4,0,0,31,35,4,0,4,6,0,2,0,3,3,4,3,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,62,0,62,62,62,0,Task5_10
