2008-09-11	11:17:28.461682	M07	ON	2
2008-09-11	11:17:31.481312	M07	OFF	2
2008-09-11	11:17:31.793115	M07	ON	2
2008-09-11	11:17:34.548934	M07	OFF	2
2008-09-11	11:17:34.76078	M07	ON	2
2008-09-11	11:17:37.510055	M02	ON	2
2008-09-11	11:17:37.843883	M07	OFF	2
2008-09-11	11:17:52.680153	M02	OFF	2
2008-09-11	11:17:55.643638	M02	ON	2
2008-09-11	11:18:01.547248	M02	OFF	2
2008-09-11	11:18:07.411169	M02	ON	2
2008-09-11	11:18:07.411169	M07	ON	2
2008-09-11	11:18:10.478504	M09	ON	2
2008-09-11	11:18:10.478504	M02	OFF	5
2008-09-11	11:18:10.478504	M06	ON	5
2008-09-11	11:18:10.478504	M08	ON	5
2008-09-11	11:18:10.978428	M14	ON	5
2008-09-11	11:18:13.565659	M13	ON	5
2008-09-11	11:18:13.565659	M06	OFF	5
2008-09-11	11:18:13.565659	M08	OFF	5
2008-09-11	11:18:13.565659	M07	OFF	5
2008-09-11	11:18:13.565659	M09	OFF	5
2008-09-11	11:18:16.530759	M14	OFF	5
2008-09-11	11:18:19.430135	M13	OFF	5
2008-09-11	11:18:22.595534	I09	ABSENT	5
2008-09-11	11:18:22.856625	I09	PRESENT	5
2008-09-11	11:18:25.458119	I09	ABSENT	5
2008-09-11	11:18:28.564264	M13	ON	5
2008-09-11	11:18:31.478487	M13	OFF	5
2008-09-11	11:18:31.478487	I09	PRESENT	5
2008-09-11	11:18:31.719321	M13	ON	5
2008-09-11	11:18:34.516596	M14	ON	5
2008-09-11	11:18:34.98338	M09	ON	2
2008-09-11	11:18:37.696806	M02	ON	2
2008-09-11	11:18:37.696806	M06	OFF	2
2008-09-11	11:18:37.696806	M14	OFF	2
2008-09-11	11:18:37.696806	M07	ON	2
2008-09-11	11:18:37.696806	M13	OFF	2
2008-09-11	11:18:40.894248	M09	OFF	2
2008-09-11	11:18:40.894248	M07	OFF	2
2008-09-11	11:18:43.849678	M02	OFF	2
2008-09-11	11:18:46.974744	M02	ON	2
2008-09-11	11:18:53.2141	M02	OFF	2
2008-09-11	11:18:58.597134	M02	ON	2
2008-09-11	11:18:58.859088	M02	OFF	2
2008-09-11	11:19:04.942535	T01	22	2
2008-09-11	11:19:04.942535	T02	24.5	2
2008-09-11	11:19:10.20554	M02	ON	2
