2008-09-25	15:34:53.446536	M07	ON	2
2008-09-25	15:34:53.446536	M06	ON	2
2008-09-25	15:34:55.403576	M02	ON	2
2008-09-25	15:34:56.164606	M06	OFF	2
2008-09-25	15:34:56.750652	M07	OFF	2
2008-09-25	15:34:56.948657	I03	ABSENT	2
2008-09-25	15:34:59.852595	T01	22.5	2
2008-09-25	15:34:59.852595	T02	26.5	2
2008-09-25	15:35:02.942065	I05	ABSENT	2
2008-09-25	15:35:05.565663	M02	OFF	2
2008-09-25	15:35:13.45261	M02	ON	2
2008-09-25	15:35:28.639482	M02	OFF	2
2008-09-25	15:35:31.555882	M08	ON	2
2008-09-25	15:35:31.555882	M06	OFF	2
2008-09-25	15:35:31.555882	M07	ON	2
2008-09-25	15:35:32.82816	M09	ON	2
2008-09-25	15:35:33.553562	M09	OFF	2
2008-09-25	15:35:33.553562	M14	ON	2
2008-09-25	15:35:33.956446	M07	OFF	2
2008-09-25	15:35:34.555315	M08	OFF	2
2008-09-25	15:35:37.588241	M06	ON	2
2008-09-25	15:35:37.588241	M08	ON	2
2008-09-25	15:35:37.588241	M07	ON	2
2008-09-25	15:35:37.588241	M09	ON	2
2008-09-25	15:35:39.199244	M14	OFF	2
2008-09-25	15:35:39.973265	M14	ON	5
2008-09-25	15:35:40.427306	M06	OFF	5
2008-09-25	15:35:40.780323	M09	OFF	5
2008-09-25	15:35:41.59384	M07	OFF	5
2008-09-25	15:35:41.59384	M08	OFF	5
2008-09-25	15:35:43.908488	M14	OFF	5
2008-09-25	15:35:44.88381	M14	ON	5
2008-09-25	15:35:44.88381	M13	ON	5
2008-09-25	15:35:47.21653	I08	ABSENT	5
2008-09-25	15:35:47.21653	M14	OFF	5
2008-09-25	15:35:52.640281	M14	ON	5
2008-09-25	15:35:52.640281	I09	ABSENT	5
2008-09-25	15:35:55.576474	M14	OFF	5
2008-09-25	15:35:58.408783	M14	ON	5
2008-09-25	15:36:01.397583	M14	OFF	5
2008-09-25	15:36:04.434815	M13	OFF	5
2008-09-25	15:36:07.364599	M13	ON	5
2008-09-25	15:36:10.402926	M14	ON	5
2008-09-25	15:36:13.551132	M13	OFF	5
2008-09-25	15:36:13.551132	M07	ON	5
2008-09-25	15:36:13.551132	M08	ON	5
2008-09-25	15:36:13.551132	M14	OFF	5
2008-09-25	15:36:14.97937	M06	ON	5
2008-09-25	15:36:15.589927	M08	OFF	5 2
2008-09-25	15:36:15.589927	M07	OFF	5 2
2008-09-25	15:36:19.459028	M06	OFF	5 2
2008-09-25	15:36:27.265985	M06	ON	5 2
2008-09-25	15:36:28.355708	M06	OFF	5 2
