2008-12-09	08:23:31.478379	M15	ON 1 1
2008-12-09	08:23:32.32435	M16	ON 1 1
2008-12-09	08:23:32.539269	M16	ON 1 1
2008-12-09	08:23:32.86712	M14	ON 1 1
2008-12-09	08:23:33.078749	M14	ON 1 1
2008-12-09	08:23:33.748159	M14	OFF 1 1
2008-12-09	08:23:35.91263	M16	ON 1 1
2008-12-09	08:23:36.135809	M16	ON 1 1
2008-12-09	08:23:37.29956	M02	ON 2 2
2008-12-09	08:23:38.19057	D07	OPEN 1 1
2008-12-09	08:23:39.615639	M17	ON 1 1
2008-12-09	08:23:39.832299	M17	ON 1 1
2008-12-09	08:23:40.77038	M01	ON 2 2
2008-12-09	08:23:41.38769	M17	OFF 1 1
2008-12-09	08:23:41.604979	M16	OFF 1 1
2008-12-09	08:23:41.951509	M23	ON 2 2
2008-12-09	08:23:42.346009	I06	ABSENT 1 1
2008-12-09	08:23:42.810149	D12	OPEN 2 2
2008-12-09	08:23:43.07554	M02	OFF 2 2
2008-12-09	08:23:43.24931	M15	OFF 1 1
2008-12-09	08:23:44.193749	M23	OFF 2 2
2008-12-09	08:23:44.66714	M01	OFF 2 2
2008-12-09	08:23:47.856369	M23	ON 2 2
2008-12-09	08:23:49.108059	M01	ON 2 2
2008-12-09	08:23:50.449559	M02	ON 2 2
2008-12-09	08:23:51.488539	M17	ON 1 1
2008-12-09	08:23:52.17806	M01	OFF 2 2
2008-12-09	08:23:52.491169	M23	OFF 2 2
2008-12-09	08:23:55.7246	M17	OFF 1 1
2008-12-09	08:23:58.25956	I04	ABSENT 1 1
2008-12-09	08:23:59.079669	M02	OFF 2 2
2008-12-09	08:24:00.63449	M02	ON 2 2
2008-12-09	08:24:03.23385	M03	ON 2 2
2008-12-09	08:24:06.15801	I04	PRESENT 1 1
2008-12-09	08:24:07.38035	I04	ABSENT 1 1
2008-12-09	08:24:07.784179	M03	OFF 2 2
2008-12-09	08:24:10.59112	I06	ABSENT 1 1
2008-12-09	08:24:11.079809	M03	ON 2 2
2008-12-09	08:24:12.324889	M17	ON 1 1
2008-12-09	08:24:15.50057	M17	OFF 1 1
2008-12-09	08:24:15.793299	M03	OFF 2 2
2008-12-09	08:24:17.177229	M17	ON 1 1
2008-12-09	08:24:18.3842	M03	ON 2 2
2008-12-09	08:24:20.7376	M17	OFF 1 1
2008-12-09	08:24:24.62925	D12	CLOSE 2 2
2008-12-09	08:24:24.84395	M03	OFF 2 2
2008-12-09	08:24:25.19688	D12	OPENv 2 2
2008-12-09	08:24:26.08569	M03	ON 2 2
2008-12-09	08:24:30.005929	M03	OFF 2 2
2008-12-09	08:24:33.859489	M03	ON 2 2
2008-12-09	08:24:35.72932	M02	OFF 2 2
